Unnamed: 0,date,caption,day,month,year,clean_text,hashtags,mentions,price_batch_1,price_batch_2,price_batch_3,post_category,comp_category,organizer,target_audience,min_team_size,max_team_size,registration_fee,original_index
0,2025-11-25,"📢 Giveaway Alert!

🎉 CS-Related Competitions has reached 13.000 followers! 🎉 

To celebrate this milestone, we are giving away 3 prizes!

🎁 Laptop Backpack
Limited-edition, from Olimpiade Sains Nasional (OSN) 2025 🇮🇩
*Donated by A****** M*****, thanks bro

🎁 Insulated Mug with Lid 
Limited-edition, from the 2025 International Collegiate Programming Contest (ICPC) World Finals held in Azerbaijan 🇦🇿

🎁 Metal Keychain
Limited-edition, from the European Girls Olympiad in Informatics (EGOI) 2024 held in the Netherlands 🇳🇱

Details:
- Shipping is included in the giveaway.
- All winners will also get a plain notebook from @csrelatedcompetitions.
- All merchandise is brand new and official from the competition (not sponsored)

✨ How to enter (for Indonesian residents only), get 1 entry:
1. Follow @csrelatedcompetitions
2. Like this post ♥️
3. Tag two (or more) friends in the comments
4. Answer (in English or bahasa Indonesia): 

❝❝❝
What Computer Science competition field do you usually join, and why?
❞❞❞
- Don't use chatgpt, use your own words 🥹

Bonus (optional, +1 entry): Participate in any competition, repost the poster in your story  and tag @csrelatedcompetitions

🏆 Winners will be chosen randomly with TRNG, so entries will have the same chance of winning. 

🗓️ Timeline
Entry deadline: 7 Dec 2025, 23:59 UTC+7
Announcement: 14 Dec 2025 (tentative)

Good luck!

--

Disclaimer: This giveaway is not affiliated with Instagram or the aforementioned competitions/events. This giveaway is meant to be for fun only.",25,11,2025,"Giveaway Alert!  CS-Related Competitions has reached 13.000 followers!   To celebrate this milestone, we are giving away 3 prizes!  Laptop Backpack Limited-edition, from Olimpiade Sains Nasional (OSN) 2025  *Donated by A****** M*****, thanks bro  Insulated Mug with Lid  Limited-edition, from the 2025 International Collegiate Programming Contest (ICPC) World Finals held in Azerbaijan   Metal Keychain Limited-edition, from the European Girls Olympiad in Informatics (EGOI) 2024 held in the Netherlands  Details: - Shipping is included in the giveaway. - All winners will also get a plain notebook from @csrelatedcompetitions. - All merchandise is brand new and official from the competition (not sponsored)  How to enter (for Indonesian residents only), get 1 entry: 1. Follow @csrelatedcompetitions 2. Like this post  3. Tag two (or more) friends in the comments 4. Answer (in English or bahasa Indonesia):   What Computer Science competition field do you usually join, and why?  - Don't use chatgpt, use your own words  Bonus (optional, +1 entry): Participate in any competition, repost the poster in your story  and tag @csrelatedcompetitions  Winners will be chosen randomly with TRNG, so entries will have the same chance of winning.   Timeline Entry deadline: 7 Dec 2025, 23:59 UTC+7 Announcement: 14 Dec 2025 (tentative) Good luck! -- Disclaimer: This giveaway is not affiliated with Instagram or the aforementioned competitions/events. This giveaway is meant to be for fun only.",[],"['csrelatedcompetitions', 'csrelatedcompetitions', 'csrelatedcompetitions']",,,,GIVEAWAY,,CS-Related Competitions,['Umum'],,,[0],0.0
1,2025-12-09,"The annual event from ISC IDN Akhwat yang kalian tunggu-tunggu... AKHIRNYA DATANG LAGI! ICOMFEST 2026 is here!

Masih dengan vibe Nusantara berbalut teknologi masa depan - siap mengguncang dunia inovasi!

Tema: Digitalizing Heritage: Menghidupkan Adat Lama di Dunia Baru

ICOMFEST 2026 menyalakan kembali semangat budaya lewat kreativitas dan kecerdasan digital generasi muda. Dari akar tradisi menuju dunia virtual yang penuh kemungkinan!

Kategori Lomba:

-UI/UX Design

-Website Development

-Robotic Creative

-Poster Design

-Scratch

-Storytelling

-MHQ

Jangan lewatkan pameran proyek inovatif siswa-siswi IDN Boarding School Akhwat - di mana teknologi jadi jembatan untuk menghidupkan adat lama di dunia baru.

Tahun ini, kita mau buktiin kalau akhwat nggak cuma bisa berkarya... tapi bisa memimpin, berinovasi, dan bawa budaya ke level yang lebih modern!

Let's show the world: Akhwat juga bisa keren, kreatif, dan impactful!

Ayo gabung sebelum kehabisan slot!

Kunjungi link berikut = https://s.id/icomfest26",9,12,2025,"The annual event from ISC IDN Akhwat yang kalian tunggu-tunggu... AKHIRNYA DATANG LAGI! ICOMFEST 2026 is here! Masih dengan vibe Nusantara berbalut teknologi masa depan - siap mengguncang dunia inovasi! Tema: Digitalizing Heritage: Menghidupkan Adat Lama di Dunia Baru ICOMFEST 2026 menyalakan kembali semangat budaya lewat kreativitas dan kecerdasan digital generasi muda. Dari akar tradisi menuju dunia virtual yang penuh kemungkinan! Kategori Lomba: -UI/UX Design -Website Development -Robotic Creative -Poster Design -Scratch -Storytelling -MHQ Jangan lewatkan pameran proyek inovatif siswa-siswi IDN Boarding School Akhwat - di mana teknologi jadi jembatan untuk menghidupkan adat lama di dunia baru. Tahun ini, kita mau buktiin kalau akhwat nggak cuma bisa berkarya... tapi bisa memimpin, berinovasi, dan bawa budaya ke level yang lebih modern! Let's show the world: Akhwat juga bisa keren, kreatif, dan impactful! Ayo gabung sebelum kehabisan slot! Kunjungi link berikut = https://s.id/icomfest26",[],[],,,,COMPETITION,"['UI/UX Design', 'Web Development', 'Non-IT Competition', 'Religious Competition']",ISC IDN Akhwat,['Umum'],1.0,1.0,[0],1.0
2,2025-12-04,"🔐 INFENTRA CTF COMPETITION 2025 🔐

Tunjukkan keahlianmu dalam keamanan siber, pecahkan puzzle kriptografi, temukan kerentanan sistem, dan rebut FLAG untuk menjadi juara nasional!

📝  Kategori Soal: Forensic, Web Exploitation, Cryptography, Pwn, Reverse Engineering, AI, Misc

 ⚔️ Sistem Lomba: Jeopardy (Penyisihan) & CBC (Final)

 📍 Pelaksanaan: Online & Platform CTFd

📅 Timeline:

 Gelombang I: 16 – 29 Nov 2025

 Gelombang II: 30 Nov – 11 Des 2025

 Technical Meeting: 12 Des 2025

 Babak Penyisihan: 13 Des 2025

 Write-Up Submission: 14 Des 2025

 Pengumuman Finalis: 15 Des 2025

 Final Round: 20 Des 2025

💰 HTM:

 Batch I: Rp50.000 / tim

 Batch II: Rp75.000 / tim

👥 Peserta: Mahasiswa/i seluruh Indonesia

Daftar Sekarang:

 🔗 infentra2025.com

Link Rulebook:

  🔗 bit.ly/RulebookCTFInfentra2025

📩 Pembayaran

Dana : 082280600238 (Siti madina Halim Siregar)

BRI : 534001025013530 (Siti Madina Halim Siregar)

Sea Bank : 901830369343 (Siti Madina Halim Siregar)

📞 Info lebih lanjut:

 Nafila Setyani (0821379788083)",4,12,2025,"INFENTRA CTF COMPETITION 2025  Tunjukkan keahlianmu dalam keamanan siber, pecahkan puzzle kriptografi, temukan kerentanan sistem, dan rebut FLAG untuk menjadi juara nasional!  Kategori Soal: Forensic, Web Exploitation, Cryptography, Pwn, Reverse Engineering, AI, Misc  Sistem Lomba: Jeopardy (Penyisihan) & CBC (Final)  Pelaksanaan: Online & Platform CTFd  Timeline: Gelombang I: 16  29 Nov 2025 Gelombang II: 30 Nov  11 Des 2025 Technical Meeting: 12 Des 2025 Babak Penyisihan: 13 Des 2025 Write-Up Submission: 14 Des 2025 Pengumuman Finalis: 15 Des 2025 Final Round: 20 Des 2025  HTM: Batch I: Rp50.000 / tim Batch II: Rp75.000 / tim  Peserta: Mahasiswa/i seluruh Indonesia Daftar Sekarang:  infentra2025.com Link Rulebook:   bit.ly/RulebookCTFInfentra2025  Pembayaran Dana : 082280600238 (Siti madina Halim Siregar) BRI : 534001025013530 (Siti Madina Halim Siregar) Sea Bank : 901830369343 (Siti Madina Halim Siregar)  Info lebih lanjut: Nafila Setyani (0821379788083)",[],[],50000.0,75000.0,,COMPETITION,"['Competitive Programming', 'Cyber Security', 'Science Olympiad']",INFENTRA,['Mahasiswa'],1.0,1.0,"[50000, 75000]",2.0
3,2025-12-14,"[GARENA GAME JAM 3: REINVENT THE GAME]

Garena Game Jam 3 is officially open. It’s your turn to Reinvent the Game.

Key Details
• Registration Period: 5–19 Dec 2025
• Announcement of Accepted Participants (via email): 2 Jan 2026
• Main Event Dates: 6–8 Feb 2026
• Venue: Binus University Jakarta
• Prizes: Rp 30 million + opportunity to attend game event like IGDX* (*T&Cs apply)

How to Participate
1. Fill out the registration form (solo or team of up to 4)
2. Wait for the acceptance email on 2 Jan 2026
3. Get ready for an incredible weekend of game development

See you in Jakarta, let's reinvent the game together!

#gamejam #hackathonindonesia #garena #lombait #garenagamejam",14,12,2025,"[GARENA GAME JAM 3: REINVENT THE GAME] Garena Game Jam 3 is officially open. Its your turn to Reinvent the Game. Key Details  Registration Period: 519 Dec 2025  Announcement of Accepted Participants (via email): 2 Jan 2026  Main Event Dates: 68 Feb 2026  Venue: Binus University Jakarta  Prizes: Rp 30 million + opportunity to attend game event like IGDX* (*T&Cs apply) How to Participate 1. Fill out the registration form (solo or team of up to 4) 2. Wait for the acceptance email on 2 Jan 2026 3. Get ready for an incredible weekend of game development See you in Jakarta, let's reinvent the game together! #gamejam #hackathonindonesia #garena #lombait #garenagamejam","['gamejam', 'hackathonindonesia', 'garena', 'lombait', 'garenagamejam']",[],,,,COMPETITION,['Game Development'],Binus University,['Umum'],1.0,4.0,[3000000],3.0
4,2025-12-14,"🌍 Prog{r}amming 8.2 is BACK! 🌿

Prog{r}amming 8.2 membawakan National Competition for a Sustainable Future 🌿
Prog{r}amming 8.2 merupakan ajang perlombaan yang diadakan dibawah naungan STEM Innovation Student Organization (SISO) Universitas Prasetiya Mulya. Saatnya tunjukkan kreativitasmu untuk bumi! Lewat kompetisi ini, kamu ditantang merancang solusi digital bertema “Save The Earth"". 

Pilih kategorimu:
💻 UI/UX Competition
Peserta: SMA/Sederajat & Mahasiswa (Tim 3-5 orang)
💰Biaya: Rp100k / kelompok (Batch 1) | Rp120k / kelompok (Batch 2)
🔗 Daftar: bit.ly/PendaftaranUIUXCompe
📖 Guidebook: bit.ly/GuidebookUIUXCompe
🗓 Timeline Pendaftaran:
1️⃣ Gelombang I: 24 Nov - 8 Des 2025
2️⃣ Gelombang II: 9 Des 2025 - 3 Jan 2026

🎮 Scratch Competition
Peserta: SD (Kls 4-6) & SMP (Kls 1) (Individu)
💰Biaya: Rp50k (Batch 1) | Rp75k (Batch 2)
🔗 Daftar: bit.ly/PendaftaranSratchCompe
📖 Guidebook: bit.ly/GuidebookScratchCompe
🗓 Timeline Pendaftaran:
1️⃣ Gelombang I: 24 Nov - 8 Des 2025
2️⃣ Gelombang II: 9 Des 2025 - 3 Jan 2026
Yuk, asah kreativitas dan berikan dampak positif! 🏆

Follow our official accounts!
TikTok & Instagram: @programming8.0

📞 Contact Person:
Joey (UI/UX): 081282276837
Windy (Scratch): 085762799253",14,12,2025,"Prog{r}amming 8.2 is BACK!  Prog{r}amming 8.2 membawakan National Competition for a Sustainable Future  Prog{r}amming 8.2 merupakan ajang perlombaan yang diadakan dibawah naungan STEM Innovation Student Organization (SISO) Universitas Prasetiya Mulya. Saatnya tunjukkan kreativitasmu untuk bumi! Lewat kompetisi ini, kamu ditantang merancang solusi digital bertema Save The Earth"".  Pilih kategorimu:  UI/UX Competition Peserta: SMA/Sederajat & Mahasiswa (Tim 3-5 orang) Biaya: Rp100k / kelompok (Batch 1) | Rp120k / kelompok (Batch 2)  Daftar: bit.ly/PendaftaranUIUXCompe  Guidebook: bit.ly/GuidebookUIUXCompe  Timeline Pendaftaran: 1 Gelombang I: 24 Nov - 8 Des 2025 2 Gelombang II: 9 Des 2025 - 3 Jan 2026  Scratch Competition Peserta: SD (Kls 4-6) & SMP (Kls 1) (Individu) Biaya: Rp50k (Batch 1) | Rp75k (Batch 2)  Daftar: bit.ly/PendaftaranSratchCompe  Guidebook: bit.ly/GuidebookScratchCompe  Timeline Pendaftaran: 1 Gelombang I: 24 Nov - 8 Des 2025 2 Gelombang II: 9 Des 2025 - 3 Jan 2026 Yuk, asah kreativitas dan berikan dampak positif!  Follow our official accounts! TikTok & Instagram: @programming8.0  Contact Person: Joey (UI/UX): 081282276837 Windy (Scratch): 085762799253",[],['programming8'],,,,COMPETITION,"['UI/UX Design', 'Non-IT Competition', 'Science Olympiad']",Universitas Prasetiya Mulya,"['SMA', 'Mahasiswa']",3.0,5.0,"[100000, 120000]",4.0
5,2025-12-14,"Panggilan buat semua pelajar! 📢 Saatnya tunjukkin skillmu di kompetisi AI Regional pertama khusus pelajar! 

Yuk bentuk skuadmu sekarang dan siapin aplikasi Gemini-mu buat #GeminiArena 🚀

#GeminiArena #GeminiSEA",14,12,2025,Panggilan buat semua pelajar!  Saatnya tunjukkin skillmu di kompetisi AI Regional pertama khusus pelajar!  Yuk bentuk skuadmu sekarang dan siapin aplikasi Gemini-mu buat #GeminiArena  #GeminiArena #GeminiSEA,"['GeminiArena', 'GeminiArena', 'GeminiSEA']",[],,,,COMPETITION,['AI Development'],,['SMA'],,,[0],5.0
6,2025-12-11,"HEY HEY🙌🏻🚨ATTENTION🚨
Get READY! because Tensailicious 2026 is BACK and ready to cast its spell! 🪄🌟

TENSAILICIOUS 2026 emerges once again, more magical, more creative, and more spectacular than ever!🔮💫and of course hosted by SMAN 10 PADANG. This year’s event unleashes a forest full of challenges and discoveries for students from elementary to high school, even up to the international arena!

🌲 𝙏𝙀𝙉𝙎𝘼𝙄 :
🪄 𝗦𝗠𝗔/𝗠𝗔
🏫 International Level
⁠^ Biaya Pendaftaran: $10
* Ekonomi💸
* ⁠Matematika📐
* ⁠Kimia🧪

🏫 National Level
^ Biaya Pendaftaran: Rp. 75.000, -
- Kimia🧪 
- ⁠Biologi🧬
- ⁠Fisika💡
* Ekonomi💸
* Astronomi 🌌
* Kebumian 🌍
* Geografi 🗺️
- Informatika 🖥️
* Matematika 📐

🪄 𝗦𝗠𝗣/𝗠𝗧𝘀 (𝘀𝗲-𝗦𝘂𝗺𝗮𝘁𝗲𝗿𝗮 𝗕𝗮𝗿𝗮𝘁)
^ Biaya Pendaftaran: Rp. 70.000, -
Terdiri dari Bidang :
* Matematika 📐
* IPA🔬
* IPS 🏙️

🪄 𝗦𝗗/𝗠𝗜 (𝘀𝗲-𝗞𝗼𝘁𝗮 𝗣𝗮𝗱𝗮𝗻𝗴)
^ Biaya pendaftaran: Rp. 60.000,-
Terdiri dari Bidang :
* Matematika 📐
* IPA🔬
* IPS 🏙️

🌲 𝙏𝙀𝙉𝙇𝙄𝘾𝙄𝙊𝙐𝙎 :
🪄 𝗦𝗠𝗔/𝗠𝗔
Terdiri dari lomba:
* Olimpiade PAI 🕌☪️ (Nasional) : Rp. 70.000,-
* MSQ 🕌 (Se-Sumatera Barat) : Rp. 150.000,-
* MHQ 📖☪️ (Se-Sumatera Barat) : Rp. 70.000,-
* Adzan/khutbah 🗣️🕌 (Se-Sumatera Barat) : Rp. 150.000,-
* Speech Contest 🗣️🇺🇸(Se-Sumatera Barat) : Rp. 70.000,-
* News Anchor 📰🧑🏻‍💼 (Se-Sumatera Barat) : Rp. 70.000,-
* Baca puisi 📄(Se-Sumatera Barat) : Rp. 70.000,-
* E-Poster 📱 (Se-Sumatera Barat) : Rp. 100.000,-

🪄 𝗦𝗠𝗣/𝗠𝗧𝘀
* Olimpiade PAI 🕌☪️ (Se-Sumatera Barat) : Rp. 65.000,-
* MSQ 🕌 (Se-Sumatera Barat) : Rp. 150.000,-
* MHQ 📖☪️ (Se-Sumatera Barat) : Rp. 65.000,-
* Story telling 📖🗣️ (Se-Sumatera Barat) : Rp. 65.000,-

🌟 𝐒𝐮𝐫𝐩𝐫𝐢𝐬𝐞 𝐀𝐥𝐞𝐫𝐭!
TENSAILICIOUS 2026 juga menyiapkan kejutan loh! 👀
Bagi 300 pendaftar pertama, akan mendapatkan merchandise eksklusif!🤯🔮
📅 Pendaftaran dibuka:
💻 Online: 11 Desember 2025 - 26 Januari 2026. 
> Melalui Website https://www.tensailicious.web.id
🐿️ Or come directly to (Offline): 
> Sekretariat Tensailicious 
📍SMAN 10 Padang Jl. Situjuh No.5 
📆11 Desember 2025 - 26 Januari 2026 

#TENSAILICIOUS2026🪄🗺️🦌
#DareToDreamStriveToWin🔮🌲
#RegnumArsMagica🐿️",11,12,2025,"HEY HEYATTENTION Get READY! because Tensailicious 2026 is BACK and ready to cast its spell!  TENSAILICIOUS 2026 emerges once again, more magical, more creative, and more spectacular than ever!and of course hosted by SMAN 10 PADANG. This years event unleashes a forest full of challenges and discoveries for students from elementary to high school, even up to the international arena!   :  /  International Level ^ Biaya Pendaftaran: $10 * Ekonomi * Matematika * Kimia  National Level ^ Biaya Pendaftaran: Rp. 75.000, - - Kimia  - Biologi - Fisika * Ekonomi * Astronomi  * Kebumian  * Geografi  - Informatika  * Matematika   / (- ) ^ Biaya Pendaftaran: Rp. 70.000, - Terdiri dari Bidang : * Matematika  * IPA * IPS   / (- ) ^ Biaya pendaftaran: Rp. 60.000,- Terdiri dari Bidang : * Matematika  * IPA * IPS    :  / Terdiri dari lomba: * Olimpiade PAI  (Nasional) : Rp. 70.000,- * MSQ  (Se-Sumatera Barat) : Rp. 150.000,- * MHQ  (Se-Sumatera Barat) : Rp. 70.000,- * Adzan/khutbah  (Se-Sumatera Barat) : Rp. 150.000,- * Speech Contest (Se-Sumatera Barat) : Rp. 70.000,- * News Anchor  (Se-Sumatera Barat) : Rp. 70.000,- * Baca puisi (Se-Sumatera Barat) : Rp. 70.000,- * E-Poster  (Se-Sumatera Barat) : Rp. 100.000,-  / * Olimpiade PAI  (Se-Sumatera Barat) : Rp. 65.000,- * MSQ  (Se-Sumatera Barat) : Rp. 150.000,- * MHQ  (Se-Sumatera Barat) : Rp. 65.000,- * Story telling  (Se-Sumatera Barat) : Rp. 65.000,-   ! TENSAILICIOUS 2026 juga menyiapkan kejutan loh!  Bagi 300 pendaftar pertama, akan mendapatkan merchandise eksklusif!  Pendaftaran dibuka:  Online: 11 Desember 2025 - 26 Januari 2026.  > Melalui Website https://www.tensailicious.web.id  Or come directly to (Offline):  > Sekretariat Tensailicious  SMAN 10 Padang Jl. Situjuh No.5  11 Desember 2025 - 26 Januari 2026  #TENSAILICIOUS2026 #DareToDreamStriveToWin #RegnumArsMagica","['TENSAILICIOUS2026', 'DareToDreamStriveToWin', 'RegnumArsMagica']",[],60000.0,65000.0,70000.0,COMPETITION,"['Olimpiade Sains', 'Non-IT Competition', 'Religious Competition']",SMAN 10 PADANG,"['SD', 'SMA', 'Umum']",1.0,1.0,"[10, 75000, 70000, 60000, 70000, 150000, 70000, 150000, 70000, 70000, 100000, 65000, 150000, 65000, 65000]",6.0
7,2025-12-11,"BASE INDONESIA HACKATHON IS LIVE!
Got a killer idea? Build it. Ship it. Win it.

We’re launching a new hackathon with a $6,000 prize pool, supported by our partners @idrx.co dan Tethanuts, bersama komunitas @blockdev.id @devweb3jogja @pelitabangsa.co.id

10 Dec 2025 — 31 Jan 2026
Prize Pool: $6,000
Daftar di sini 👉 http://base-indonesia-hackathon-2025.devfolio.co/

Build tools, dApps, infra, atau sesuatu yang belum pernah kita lihat sebelumnya! this is your moment.
Unleash your ideas, let’s build the future onchain together. 

Hackathon Tracks:
🟦 Base Track – Build a Mini-App improving onchain UX. Projects that utilize IDRX are eligible for the Best Project (IDRX) prize.
🟪 Thetanuts Track – Gamified DeFi app with AI onboarding & engagement loops.

📌 Rules: Each team submits one project in one track. MVP must be deployed on Base. Register now: https://base-indonesia-hackathon-2025.devfolio.co/overview 

Kick-off AMA with hackathon partners: 12 Dec 2025
Get early tips, mentorship & answers to all your questions before building.
Don’t miss your chance to ship the next killer onchain app!",11,12,2025,"BASE INDONESIA HACKATHON IS LIVE! Got a killer idea? Build it. Ship it. Win it. Were launching a new hackathon with a $6,000 prize pool, supported by our partners @idrx.co dan Tethanuts, bersama komunitas @blockdev.id @devweb3jogja @pelitabangsa.co.id 10 Dec 2025  31 Jan 2026 Prize Pool: $6,000 Daftar di sini  http://base-indonesia-hackathon-2025.devfolio.co/ Build tools, dApps, infra, atau sesuatu yang belum pernah kita lihat sebelumnya! this is your moment. Unleash your ideas, lets build the future onchain together.  Hackathon Tracks:  Base Track  Build a Mini-App improving onchain UX. Projects that utilize IDRX are eligible for the Best Project (IDRX) prize.  Thetanuts Track  Gamified DeFi app with AI onboarding & engagement loops.  Rules: Each team submits one project in one track. MVP must be deployed on Base. Register now: https://base-indonesia-hackathon-2025.devfolio.co/overview  Kick-off AMA with hackathon partners: 12 Dec 2025 Get early tips, mentorship & answers to all your questions before building. Dont miss your chance to ship the next killer onchain app!",[],"['idrx', 'blockdev', 'devweb3jogja', 'pelitabangsa']",,,,COMPETITION,"['Hackathon', 'Web Development', 'Mobile Development', 'Game Development', 'AI Development']",BASE INDONESIA,['Umum'],1.0,1.0,[6000],7.0
8,2025-12-09,"🛰️ Peluncuran Resmi: ASCEND – AEROO Satellite Challenge for Empowering Next-Gen Developers 2026 di Indonesia

The Global Citizen Education Group - Indonesia dengan bangga mengumumkan peluncuran ASCEND 2026 – AEROO Satellite Challenge for Empowering Next-Gen Developers di Indonesia. ASCEND merupakan kompetisi nasional dalam bidang desain dan inovasi satelit yang mengintegrasikan pendidikan STEM, Design Thinking, dan Kewirausahaan.

Inisiatif ini diselenggarakan dengan dukungan dari Komite Kedirgantaraan Kementerian Pengembangan Digital, Inovasi, dan Industri Dirgantara Republik Kazakhstan, di bawah naungan Pemerintah Kazakhstan. ASCEND berfungsi sebagai babak kualifikasi nasional resmi Indonesia menuju Final Internasional di Kazakhstan.

🏆 Para juara nasional akan mendapatkan kehormatan untuk mewakili Indonesia pada International Space Day 2026 di Kazakhstan, di mana mereka akan membangun dan meluncurkan satelit hasil rancangan mereka sendiri dengan dukungan penuh (full sponsorship) (syarat & ketentuan berlaku).

📅 Batas Pendaftaran: 20 Desember 2025 (11:59PM GMT+7)
👥 Kriteria Peserta: Pelajar berusia 14–17 tahun (Kelas 9–11), mendaftar dalam tim beranggotakan empat orang

Sorotan Program:
- Mendalami Ilmu dan Teknologi Satelit
- Berpartisipasi dalam Program Bergengsi yang Didukung Pemerintah
- Mendapatkan Pengakuan dan Eksposur Internasional
- Memperkuat Portofolio Akademik dan Karier di Bidang STEM
- Raih kesempatan untuk mewakili Indonesia di panggung internasional

🔗 Pindai kode QR untuk mengetahui lebih lanjut

#ASCEND #Indonesia #TheGlobalCitizen #TGCEG #AEROO #Kazakhstan #STEM #Coding #Competition #Opportunities #AEROOSatelliteChallenge",9,12,2025,"Peluncuran Resmi: ASCEND  AEROO Satellite Challenge for Empowering Next-Gen Developers 2026 di Indonesia The Global Citizen Education Group - Indonesia dengan bangga mengumumkan peluncuran ASCEND 2026  AEROO Satellite Challenge for Empowering Next-Gen Developers di Indonesia. ASCEND merupakan kompetisi nasional dalam bidang desain dan inovasi satelit yang mengintegrasikan pendidikan STEM, Design Thinking, dan Kewirausahaan. Inisiatif ini diselenggarakan dengan dukungan dari Komite Kedirgantaraan Kementerian Pengembangan Digital, Inovasi, dan Industri Dirgantara Republik Kazakhstan, di bawah naungan Pemerintah Kazakhstan. ASCEND berfungsi sebagai babak kualifikasi nasional resmi Indonesia menuju Final Internasional di Kazakhstan.  Para juara nasional akan mendapatkan kehormatan untuk mewakili Indonesia pada International Space Day 2026 di Kazakhstan, di mana mereka akan membangun dan meluncurkan satelit hasil rancangan mereka sendiri dengan dukungan penuh (full sponsorship) (syarat & ketentuan berlaku).  Batas Pendaftaran: 20 Desember 2025 (11:59PM GMT+7)  Kriteria Peserta: Pelajar berusia 1417 tahun (Kelas 911), mendaftar dalam tim beranggotakan empat orang Sorotan Program: - Mendalami Ilmu dan Teknologi Satelit - Berpartisipasi dalam Program Bergengsi yang Didukung Pemerintah - Mendapatkan Pengakuan dan Eksposur Internasional - Memperkuat Portofolio Akademik dan Karier di Bidang STEM - Raih kesempatan untuk mewakili Indonesia di panggung internasional  Pindai kode QR untuk mengetahui lebih lanjut #ASCEND #Indonesia #TheGlobalCitizen #TGCEG #AEROO #Kazakhstan #STEM #Coding #Competition #Opportunities #AEROOSatelliteChallenge","['ASCEND', 'Indonesia', 'TheGlobalCitizen', 'TGCEG', 'AEROO', 'Kazakhstan', 'STEM', 'Coding', 'Competition', 'Opportunities', 'AEROOSatelliteChallenge']",[],,,,COMPETITION,['Olimpiade Sains'],The Global Citizen Education Group - Indonesia,['SMA'],4.0,4.0,[0],8.0
9,2025-12-09,"Bangun Solusi AI yang Bisa Langsung Kamu Pajang di Portfolio!

ExplorAItion Batch 2 hadir lagi sebagai mini hackathon buat kamu yang pengen ngerasain serunya ngebangun produk AI dari nol sampai jadi, cukup dalam 48 jam!

Kenapa kamu harus ada di sini?
💠 Bisa belajar problem framing & design sprint dengan cara yang simpel tapi ngena
💠 Dapet Market Validation + AI Dev Lab buat nentuin solusi yang relevan buat user
💠 Dapet DOMAIN GRATIS (bebas pilih: web.id / my.id / biz.id)
💠 Voucher ratusan ribu, bisa buat boosting project-mu
💠 Sertifikat prestasi buat CV & LinkedIn
💠 Peluang dapetin spotlight buat jadi TOP 3 TEAM!

📍 MARKAS Surabaya
🗓 13–14 Desember 2025
🔗 Daftar: s.id/daftarexploraition
(Pendaftaran 8–12 Desember, cuma untuk 10 tim tercepat!)

🎤 Day 1: Market Lab + AI Dev Lab
Gali masalah yang beneran terjadi, validasi kebutuhan market, dan mulai bangun solusi AI sebelum masuk ke prototyping.

🚀 Day 2: Showcase Your Prototype
Tunjukkan kreasi terbaikmu dan bikin juri ngeliat potensi inovasimu.

🔥 Buruan Daftar KUOTA TERBATAS!
Jago aja GAK CUKUP! Kalo kamu gak berani MEMULAI duluan 🫵🏼

#ExplorAItion #MiniHackathon #HackathonIndonesia #DigitalSkills #BelajarTeknologi #TechEvent #ProblemSolving #InnovationChallenge #FutureTalent #DigitalGeneration #TechEducation #TeknologInformasi",9,12,2025,"Bangun Solusi AI yang Bisa Langsung Kamu Pajang di Portfolio! ExplorAItion Batch 2 hadir lagi sebagai mini hackathon buat kamu yang pengen ngerasain serunya ngebangun produk AI dari nol sampai jadi, cukup dalam 48 jam! Kenapa kamu harus ada di sini?  Bisa belajar problem framing & design sprint dengan cara yang simpel tapi ngena  Dapet Market Validation + AI Dev Lab buat nentuin solusi yang relevan buat user  Dapet DOMAIN GRATIS (bebas pilih: web.id / my.id / biz.id)  Voucher ratusan ribu, bisa buat boosting project-mu  Sertifikat prestasi buat CV & LinkedIn  Peluang dapetin spotlight buat jadi TOP 3 TEAM!  MARKAS Surabaya  1314 Desember 2025  Daftar: s.id/daftarexploraition (Pendaftaran 812 Desember, cuma untuk 10 tim tercepat!)  Day 1: Market Lab + AI Dev Lab Gali masalah yang beneran terjadi, validasi kebutuhan market, dan mulai bangun solusi AI sebelum masuk ke prototyping.  Day 2: Showcase Your Prototype Tunjukkan kreasi terbaikmu dan bikin juri ngeliat potensi inovasimu.  Buruan Daftar KUOTA TERBATAS! Jago aja GAK CUKUP! Kalo kamu gak berani MEMULAI duluan  #ExplorAItion #MiniHackathon #HackathonIndonesia #DigitalSkills #BelajarTeknologi #TechEvent #ProblemSolving #InnovationChallenge #FutureTalent #DigitalGeneration #TechEducation #TeknologInformasi","['ExplorAItion', 'MiniHackathon', 'HackathonIndonesia', 'DigitalSkills', 'BelajarTeknologi', 'TechEvent', 'ProblemSolving', 'InnovationChallenge', 'FutureTalent', 'DigitalGeneration', 'TechEducation', 'TeknologInformasi']",[],0.0,,,OTHER,"['AI Development', 'Hackathon']",Surabaya,['Umum'],1.0,10.0,[0],9.0
