,day,month,year,post_category,comp_category,target_audience,min_team_size,max_team_size,registration_fee,number_category,cat_invalid,cat_religious_competition,cat_web_development,cat_ui/ux_competition,cat_non-it_competition,cat_competitive_programming,cat_cybersecurity/network,cat_science_olympiad,cat_game_development,cat_ai,cat_hackathon,cat_mobile_development,cat_robotic/iot,cat_data_science,cat_business_plan,cat_data_analyst,cat_smart_city,cat_python,cat_product_competition,aud_umum,aud_mahasiswa,aud_sma,aud_sd,aud_smp,aud_invalid,aud_tk,min_registration_fee,max_registration_fee,fee_type
0,25,11,2025,GIVEAWAY,['Invalid'],['Umum'],-1,-1,[0],1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
1,9,12,2025,COMPETITION,"['Religious Competition', 'Web Development', 'UI/UX Competition', 'Non-IT Competition']",['Umum'],1,1,[0],4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
2,4,12,2025,COMPETITION,"['Competitive Programming', 'Cybersecurity/Network', 'Science Olympiad']",['Mahasiswa'],1,1,"[50000, 75000]",3,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,50000,75000,Paid
3,14,12,2025,COMPETITION,['Game Development'],['Umum'],1,4,[-1],1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,Not listed
4,14,12,2025,COMPETITION,"['Non-IT Competition', 'UI/UX Competition', 'Science Olympiad']","['Mahasiswa', 'SMA']",3,5,"[100000, 120000]",3,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,100000,120000,Paid
5,14,12,2025,COMPETITION,['AI'],['SMA'],-1,-1,[0],1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Free
6,11,12,2025,COMPETITION,"['Non-IT Competition', 'Science Olympiad', 'Religious Competition']","['Umum', 'SD', 'SMA']",1,1,"[168000, 60000, 100000, 65000, 150000, 70000, 75000]",3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,60000,168000,Paid
7,11,12,2025,COMPETITION,"['Game Development', 'Hackathon', 'Web Development', 'AI', 'Mobile Development']",['Umum'],1,1,[-1],5,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1,-1,Not listed
8,9,12,2025,COMPETITION,['Science Olympiad'],['SMA'],4,4,[0],1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,Free
9,9,12,2025,OTHER,"['AI', 'Hackathon']",['Umum'],1,1,[0],2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,Free
10,9,12,2025,COMPETITION,"['Competitive Programming', 'Cybersecurity/Network']",['Mahasiswa'],1,1,[0],2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,Free
